[25566:22543:0810/111616:WARNING:dns_config_service_posix.cc(143)] dns_config has unhandled options!
[25566:1299:0810/111621:INFO:CONSOLE(1169)] "@io.on 'enter-event': checking if !@get('userSession.session_key') && !@get('isHost') && !@get('isEnded')", source: http://faze-web.dev/assets/faze.js (1169)
[25566:1299:0810/111621:INFO:CONSOLE(1175)] "@io.on 'enter-event': triggering 'entered-event'", source: http://faze-web.dev/assets/faze.js (1175)
[25566:1299:0810/111621:INFO:CONSOLE(1882)] "@on entered-event triggered!", source: http://faze-web.dev/assets/faze.js (1882)
[25566:1299:0810/111621:INFO:CONSOLE(1883)] "@on entered-event: checking if @get('isRunningOrPaused') && @get('isHost')", source: http://faze-web.dev/assets/faze.js (1883)
[25566:1299:0810/111621:INFO:CONSOLE(1895)] "@on entered-event: FALSE: @get('isRunningOrPaused') && !@get('isHost') && !@get('userSession')", source: http://faze-web.dev/assets/faze.js (1895)
[25566:1299:0810/111621:INFO:CONSOLE(1896)] "@on entered-event: inside of ELSE", source: http://faze-web.dev/assets/faze.js (1896)
[25566:1299:0810/111621:INFO:CONSOLE(1239)] "Updated viewer count 2.", source: http://faze-web.dev/assets/faze.js (1239)
[25566:1299:0810/111621:INFO:CONSOLE(1239)] "Updated viewer count 3.", source: http://faze-web.dev/assets/faze.js (1239)
[25566:1299:0810/111621:INFO:CONSOLE(1192)] "Auth updated!", source: http://faze-web.dev/assets/faze.js (1192)
[25566:1299:0810/111621:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111621:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111621:INFO:CONSOLE(1068)] "onIsConnected? true", source: http://faze-web.dev/assets/faze.js (1068)
[25566:1299:0810/111621:INFO:CONSOLE(1073)] "Connected to room!", source: http://faze-web.dev/assets/faze.js (1073)
[25566:1299:0810/111621:INFO:CONSOLE(1039)] "[on streamCreated] Streams array not found, creating it again.", source: http://faze-web.dev/assets/faze.js (1039)
[25566:1299:0810/111621:INFO:CONSOLE(804)] "Chatting Stream=", source: http://faze-web.dev/assets/faze.js (804)
[25566:1299:0810/111621:INFO:CONSOLE(1338)] "publisher_id=", source: http://faze-web.dev/assets/faze.js (1338)
[25566:1299:0810/111621:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111621:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111621:INFO:CONSOLE(0)] "getUserMedia() is deprecated on insecure origins, and support will be removed in the future. You should consider switching your application to a secure origin, such as HTTPS. See https://goo.gl/rStTGz for more details.", source:  (0)
[25566:1299:0810/111621:INFO:CONSOLE(1048)] "[on streamCreated] undefined's stream created.", source: http://faze-web.dev/assets/faze.js (1048)
[25566:1299:0810/111621:INFO:CONSOLE(804)] "Chatting Stream=", source: http://faze-web.dev/assets/faze.js (804)
[25566:1299:0810/111621:INFO:CONSOLE(1062)] "[on streamCreated] undefined's stream pushed to streams array.", source: http://faze-web.dev/assets/faze.js (1062)
[25566:1299:0810/111621:INFO:CONSOLE(1063)] "undefined connected to session.", source: http://faze-web.dev/assets/faze.js (1063)
[25566:1299:0810/111621:INFO:CONSOLE(4451)] "undefined is now chatting.", source: http://faze-web.dev/assets/faze.js (4451)
[25566:1299:0810/111621:INFO:CONSOLE(4526)] "undefined's stream VIEW rendered.", source: http://faze-web.dev/assets/faze.js (4526)
[25566:1299:0810/111621:INFO:CONSOLE(4529)] "video-stream streamObj=", source: http://faze-web.dev/assets/faze.js (4529)
[25566:1299:0810/111621:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111621:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25587:29187:0810/111622:WARNING:webrtcvoiceengine.cc(569)] Unexpected codec: ISAC/48000/1 (105)
[25587:29187:0810/111622:WARNING:webrtcvoiceengine.cc(569)] Unexpected codec: PCMU/8000/2 (110)
[25587:29187:0810/111622:WARNING:webrtcvoiceengine.cc(569)] Unexpected codec: PCMA/8000/2 (118)
[25587:29187:0810/111622:WARNING:webrtcvoiceengine.cc(569)] Unexpected codec: G722/8000/2 (119)
[25566:1299:0810/111622:INFO:CONSOLE(1407)] "Currently chatting has changed!", source: http://faze-web.dev/assets/faze.js (1407)
[25566:1299:0810/111622:INFO:CONSOLE(1220)] "CURRENTLY CHATTING CHANGED!", source: http://faze-web.dev/assets/faze.js (1220)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111622:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111622:INFO:CONSOLE(1351)] "User granted access to the camera and mic.", source: http://faze-web.dev/assets/faze.js (1351)
[25566:1299:0810/111622:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111622:INFO:CONSOLE(87489)] "Set remote and local description", source: http://faze-web.dev/assets/vendor.js (87489)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111622:INFO:CONSOLE(89417)] "DEBUG: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25587:29187:0810/111623:WARNING:webrtcvoiceengine.cc(1455)] webrtc: (rtp_packet_history.cc:43): Purging packet history in order to re-set status.
[25587:29187:0810/111623:WARNING:webrtcvoiceengine.cc(3055)] SetOutputVolumePan(0, 1, 1) failed, err=8040
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25587:29187:0810/111623:WARNING:stunport.cc(343)] Jingle:Port[audio:1:0::Net[utun0:fd08:ff37:df9e:263f::/64:Unknown]]: StunPort: stun host lookup received error 0
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25566:34307:0810/111623:INFO:socket_host_udp.cc(359)] sendto() has failed twice returning a  transient error net::ERR_ADDRESS_UNREACHABLE. Dropping the packet.
[25566:1299:0810/111623:INFO:CONSOLE(87497)] "Candidates to be added: ", source: http://faze-web.dev/assets/vendor.js (87497)
[25566:1299:0810/111623:INFO:CONSOLE(87502)] "Local candidates to send:", source: http://faze-web.dev/assets/vendor.js (87502)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
[25566:1299:0810/111623:INFO:CONSOLE(88980)] "[object Object]", source: http://faze-web.dev/assets/vendor.js (88980)
[25566:1299:0810/111623:INFO:CONSOLE(89417)] "INFO: ", source: http://faze-web.dev/assets/vendor.js (89417)
